CASE,MSE-loss,accuracy,traintime
1,0.024962345138192177,0.9391435235738754,9.855
2,0.012839640490710735,0.9693518579006195,18.957
3,0.007873132824897766,0.9750694334506989,28.898
4,0.004452068358659744,0.9811111092567444,31.828
6,0.02177213877439499,0.9636342525482178,34.927
8,0.02206379920244217,0.9589814841747284,45.656
10,0.0021093604154884815,0.9855786859989166,71.171
20,0.0007036078604869545,0.9926851838827133,110.026
30,0.0005474338540807366,0.990879625082016,151.968
40,0.00046573675354011357,0.9897222220897675,217.709
50,0.0001941225928021595,0.9945370405912399,197.862
60,0.00024294600007124245,0.9940046221017838,215.99
70,0.00041807873640209436,0.9928009212017059,302.243
80,0.0009214244200848043,0.9863425940275192,276.226
90,0.0015381014673039317,0.9805555492639542,310.73
100,0.0004135096096433699,0.992083340883255,348.104
