F,E,base,height,length,coord0,phi0,k0,coord1,phi1,k1,coord2,phi2,k2,coord3,phi3,k3,coord4,phi4,k4,coord5,phi5,k5,coord6,phi6,k6,coord7,phi7,k7,coord8,phi8,k8,coord9,phi9,k9,time
100.0,100000000000.0,0.01,0.01,0.2,"(0.0, -0.0)",0.0,0.23996315216867167,"(0.022222125491921572, -5.705525368227028e-05)",0.005036218854034334,0.2132966015783658,"(0.044443736035621226, -0.0002194407364433687)",0.009479853584508185,0.1866306689259262,"(0.06666448675308004, -0.00047398540099026856)",0.013330922951224844,0.15996576806497562,"(0.0888841958163078, -0.0008075186182947275)",0.016589452575045415,0.13330211718910231,"(0.11110282302712779, -0.0012068711469419957)",0.01925547114818394,0.10663976453611833,"(0.1333204436954328, -0.0016588757002178657)",0.021329006649118798,0.07997861973415228,"(0.15553722805595255, -0.0021503670378888724)",0.02281008391173438,0.053318478501528606,"(0.17775341585558507, -0.0026681817628281847)",0.023698722127848754,0.02665905314196957,"(0.19996929347398412, -0.0031991578094269007)",0.02399493347667356,-1.0927023175177908e-13,0.018534300004830584
100.0,100000000000.0,0.01,0.01,0.6000000000000001,"(0.0, -0.0)",0.0,0.7113464873262195,"(0.06664374071056792, -0.0015212588928610559)",0.044756899144626966,0.631373998473538,"(0.1331656798179899, -0.005845619470465049)",0.08418648779237205,0.5515476715446317,"(0.19948475529700244, -0.012612707742268596)",0.11830203319888147,0.4719647809698166,"(0.2655590215752773, -0.02146301822127924)",0.14712168303903808,0.3926756614358868,"(0.33137972791457715, -0.032040049232901276)",0.17066557385951903,0.31369081382872693,"(0.3969654456582147, -0.04399136980872238)",0.1889534104378366,0.23498795253636184,"(0.4623563255768966, -0.0569688127086324)",0.2020025107616927,0.15651889663394358,"(0.5276085175575908, -0.07062798647920585)",0.2098263043436422,0.0782162662571106,"(0.5927887394385163, -0.08462728842070849)",0.21243327011380958,-9.020562075079397e-17,0.01609020002069883
100.0,100000000000.0,0.01,0.01,1.0,"(0.0, -0.0)",0.0,1.1083196089537735,"(0.11085515965171777, -0.006559869404044877)",0.1157479112283886,0.9752934173717123,"(0.22036485209117362, -0.025074807123990732)",0.21679247042620547,0.8438817864443652,"(0.32767142533732596, -0.05376740410868074)",0.30337578606962007,0.7151138985489824,"(0.4323707351216868, -0.09089330148079079)",0.3758230858379278,0.5894747268077494,"(0.5344220344135963, -0.13479852348334675)",0.4344882701270236,0.467013167657458,"(0.6340632146725421, -0.18394328681822256)",0.47971120664998884,0.3474437513467228,"(0.7317363740005504, -0.23690149606232272)",0.5117856675491295,0.23023596015311282,"(0.8280247586371642, -0.292343771864192)",0.530936428031462,0.1146898985891763,"(0.9235996741281441, -0.3490100761986884)",0.537304083172073,2.3592239273284576e-16,0.023598200001288205
100.0,100000000000.0,0.01,0.02,0.2,"(0.0, -0.0)",0.0,0.02999992800049369,"(0.022222220710340027, -7.133040972757066e-06)",0.0006296280309261586,0.026666594893942686,"(0.044444433289425725, -2.743476814268925e-05)",0.0011851820034499605,0.023333263007079833,"(0.06666663232499621, -5.925908644608494e-05)",0.001666661955040183,0.01999993315174426,"(0.08888881535383113, -0.00010095990110598618)",0.002074067939854204,0.01666660569741902,"(0.1111109816339505, -0.00015089112086655776)",0.0024074000107210418,0.013333280755401116,"(0.13333313205537214, -0.00020740665818463753)",0.002666658218003784,0.00999995819218787,"(0.1555552691401118, -0.00026886042922973677)",0.0028518426095995924,0.006666637629476915,"(0.1777773969601541, -0.0003336063538373744)",0.002962953229516649,0.003333318456470584,"(0.1999995200032913, -0.00039999835455339786)",0.002999990100572576,3.469446951953614e-18,0.006311499979346991
100.0,100000000000.0,0.01,0.02,0.6000000000000001,"(0.0, -0.0)",0.0,0.08998251371075494,"(0.066666299273548, -0.0001925532344729765)",0.005665501842394872,0.07998256881972274,"(0.13333064417756127, -0.0007405784180965223)",0.01066434910771039,0.06998291708412074,"(0.19999172348848096, -0.0015996212943096585)",0.014996568408889889,0.05998375518748281,"(0.2666488500602281, -0.0027252291676908877)",0.01866219636969594,0.04998518620172074,"(0.333301867084703, -0.004072955455874092)",0.021661273649950977,0.0399872336480495,"(0.39995106545541703, -0.00559836184731658)",0.0239938402913881,0.029989853892442395,"(0.4665970870565199, -0.007257018753912074)",0.0256599314597022,0.01999295065227697,"(0.5332408447432506, -0.009004504489242803)",0.02665957460211512,0.009996386999267361,"(0.5998834247383663, -0.010796403065017649)",0.026992786999881162,3.5561831257524545e-17,0.00776059998315759
100.0,100000000000.0,0.01,0.02,1.0,"(0.0, -0.0)",0.0,0.14977595894340517,"(0.11110640105811598, -0.0008902312149311254)",0.015715867273508464,0.1331099987846878,"(0.2221877377350821, -0.003423578532806694)",0.02958014069520025,0.11644779828314289,"(0.33322722050910836, -0.007393930054251083)",0.04159338977277166,0.09979187586703894,"(0.44421604478560195, -0.012595233254192123)",0.05175639577185068,0.08314355222556491,"(0.5551522408972991, -0.018821650832619215)",0.060070028130645076,0.06650312280881032,"(0.6660395260533493, -0.025867640273926452)",0.06653514008758242,0.0498700300354028,"(0.7768861606227955, -0.03352797035335458)",0.07115248350951336,0.03324303484998588,"(0.8877038068203231, -0.041597687239239046)",0.07392264264030667,0.016620387920356736,"(0.9985063929560383, -0.04987204297939657)",0.0748459869173524,-5.603156827405087e-16,0.012966099980985746
100.0,100000000000.0,0.02,0.01,0.2,"(0.0, -0.0)",0.0,0.11999539250548848,"(0.02222219803392762, -2.8531083280641557e-05)",0.0025184162120198686,0.1066620736851319,"(0.04444426722246014, -0.00010973461854597979)",0.004740537182325814,0.09332883217201239,"(0.06666612152741089, -0.00023702594950509497)",0.00666636527442017,0.07999571958904195,"(0.08888771537385563, -0.00040382047815614575)",0.00829590367077404,0.06666276328117514,"(0.11110903829438679, -0.0006035337776778132)",0.009629155951992851,0.05332996952885641,"(0.13333010987865215, -0.0008295816660861188)",0.010666125656103217,0.03999732657829719,"(0.1555509724069194, -0.0010753802198771713)",0.011406815855832676,0.026664809061336822,"(0.1777716853130602, -0.001334345734796237)",0.011851228945894736,0.013332381317652346,"(0.19999232084248225, -0.0015998946876868126)",0.011999366472417785,-8.638922910364499e-16,0.006395700009306893
100.0,100000000000.0,0.02,0.01,0.6000000000000001,"(0.0, -0.0)",0.0,0.3588900934542333,"(0.06666082606725926, -0.0007678715125568997)",0.022592732345771527,0.3188935978138777,"(0.13329057947831893, -0.0029526607795143513)",0.04251956576028579,0.27891574576724193,"(0.19986846631654107, -0.006375965869735805)",0.05978219443736859,0.23896901366430873,"(0.2663836032190598, -0.010859491641150354)",0.07438294134348743,0.19905993152279747,"(0.3328335798588391, -0.01622532688680131)",0.0863243905522888,0.1591899455389299,"(0.3992230244845284, -0.022296085639239335)",0.09560907698823592,0.11935627876351629,"(0.46556217800909844, -0.028894935871898578)",0.10223923345465856,0.07955278664877426,"(0.5318654784903846, -0.03584553871379058)",0.10621659447693763,0.0397708063600026,"(0.598150155757143, -0.0429719209782079)",0.10754225655423551,-5.247885459525037e-14,0.011419299989938736
100.0,100000000000.0,0.02,0.01,1.0,"(0.0, -0.0)",0.0,0.5865073992093084,"(0.11103903095905691, -0.0034821548523031884)",0.06146500798541659,0.5198839806338743,"(0.22169573925817074, -0.01336968246123705)",0.11553837555805102,0.453489955654406,"(0.3317173474476872, -0.02881891530500389)",0.16225475881678075,0.38747699074069614,"(0.4409748547209216, -0.04899012476846428)",0.2016614305885584,0.32192248637675547,"(0.549443363688511, -0.07305664641565499)",0.23381068507103617,0.25684138099620185,"(0.6571827272932075, -0.10020931873197847)",0.25875354523158234,0.1921977628333839,"(0.764318982095347, -0.1296571677396521)",0.2765347373209837,0.12791600995210028,"(0.8710267179527268, -0.1606252230893863)",0.2871888713584819,0.06389136843767243,"(0.9775123320155141, -0.1923502796939083)",0.29073776684241925,2.7755575615628914e-17,0.015523199981544167
100.0,100000000000.0,0.02,0.02,0.2,"(0.0, -0.0)",0.0,0.014999990999543656,"(0.02222222184425026, -3.566527240808095e-06)",0.00031481461496536955,0.013333324361224887,"(0.04444444163418414, -1.3717411857879513e-05)",0.0005925921947786403,0.011666657876979845,"(0.0666666579806456, -2.9629608020362178e-05)",0.0008333327440766482,0.009999991650995237,"(0.08888887036484616, -5.048006995569976e-05)",0.0010370362700682684,0.008333325722180193,"(0.11111107864950345, -7.54457523125973e-05)",0.001203702779494884,0.006666660100830898,"(0.13333328303885372, -0.00010370361018170199)",0.0013333322784193197,0.0049999947716296315,"(0.1555554840786519, -0.00013443059909560326)",0.001425924772225847,0.003333329693644766,"(0.17777768265617186, -0.00016680367502883278)",0.0014814802656201772,0.0016666648003307721,"(0.19999988000020585, -0.00019999979439786424)",0.0014999987626294676,-4.717719270797005e-13,0.006374299991875887
