F,E,base,height,length,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,time
100.0,100000000000.0,0.01,0.01,0.2,"(0.0, 0.0)","(0.022222125491921572, 5.705525368227028e-05)","(0.044443736035621226, 0.0002194407364433687)","(0.06666448675308004, 0.00047398540099026856)","(0.0888841958163078, 0.0008075186182947275)","(0.11110282302712779, 0.0012068711469419957)","(0.1333204436954328, 0.0016588757002178657)","(0.15553722805595255, 0.0021503670378888724)","(0.17775341585558507, 0.0026681817628281847)","(0.19996929347398412, 0.0031991578094269007)",0.007739299995591864
100.0,100000000000.0,0.01,0.01,0.4,"(0.0, 0.0)","(0.04444136369800042, 0.00045534361577758103)","(0.08886633619277633, 0.0017509972704896515)","(0.13326394420175122, 0.003781318176498887)","(0.17762843981131413, 0.0064407135025961815)","(0.22195854465546172, 0.009623770475246568)","(0.266256696033744, 0.013225322779372913)","(0.31052829604544396, 0.017140464193476722)","(0.3547809651696731, 0.021264520117672152)","(0.39902380022168715, 0.025492987763329835)",0.008178200019756332
100.0,100000000000.0,0.01,0.01,0.6000000000000001,"(0.0, 0.0)","(0.06664374071056792, 0.0015212588928610559)","(0.1331656798179899, 0.005845619470465049)","(0.19948475529700244, 0.012612707742268596)","(0.2655590215752773, 0.02146301822127924)","(0.33137972791457715, 0.032040049232901276)","(0.3969654456582147, 0.04399136980872238)","(0.4623563255768966, 0.0569688127086324)","(0.5276085175575908, 0.07062798647920585)","(0.5927887394385163, 0.08462728842070849)",0.013273499993374571
100.0,100000000000.0,0.01,0.01,0.8,"(0.0, 0.0)","(0.08879702173427395, 0.003515898500910974)","(0.1771077761756922, 0.013485324535345705)","(0.2646134438389058, 0.02903267822232749)","(0.3511541947149577, 0.049289078515046415)","(0.4367024215255739, 0.07340683958473265)","(0.5213366792176602, 0.1005662764356724)","(0.6052172310428449, 0.12997650810297942)","(0.6885634858855708, 0.16087179923365663)","(0.7716331829003605, 0.19250479183663288)",0.015002100000856444
100.0,100000000000.0,0.01,0.01,1.0,"(0.0, 0.0)","(0.11085515965171777, 0.006559869404044877)","(0.22036485209117362, 0.025074807123990732)","(0.32767142533732596, 0.05376740410868074)","(0.4323707351216868, 0.09089330148079079)","(0.5344220344135963, 0.13479852348334675)","(0.6340632146725421, 0.18394328681822256)","(0.7317363740005504, 0.23690149606232272)","(0.8280247586371642, 0.292343771864192)","(0.9235996741281441, 0.3490100761986884)",0.021284099988406524
100.0,100000000000.0,0.01,0.0125,0.2,"(0.0, 0.0)","(0.02222219685905592, 2.9215771950626286e-05)","(0.04444425861937236, 0.00011236801304306719)","(0.06666609505403392, 0.0002427140207537689)","(0.08888765836620555, 0.00041351115514905347)","(0.11110893761406496, 0.000618016959408011)","(0.13332995334074443, 0.0008494892409177928)","(0.1555507497815893, 0.001101186082609089)","(0.17777138939815182, 0.001366365805251086)","(0.19999194786263264, 0.00163828692240539)",0.005787199974292889
100.0,100000000000.0,0.01,0.0125,0.4,"(0.0, 0.0)","(0.0444436337435335, 0.00023357794699105887)","(0.08888295335630758, 0.0008983329125441087)","(0.13331506731493764, 0.0019402862173694203)","(0.1777384573185092, 0.00330546585211381)","(0.2221527827961844, 0.004939924049523865)","(0.26655868130201255, 0.0067897463565284935)","(0.3109575750481941, 0.008801053510746653)","(0.35535147314728016, 0.01091999759575929)","(0.3997427751742191, 0.013092753955783586)",0.006886899995151907
100.0,100000000000.0,0.01,0.0125,0.6000000000000001,"(0.0, 0.0)","(0.06666054426388945, 0.0007861772740461759)","(0.13328851737721983, 0.003023016930003079)","(0.19986212460852112, 0.006527804737120439)","(0.266369960901596, 0.011117941164842094)","(0.3328095027783879, 0.01661123877700933)","(0.39918560360334104, 0.02282607381250275)","(0.46550899821222563, 0.029581416921301656)","(0.5317948189697621, 0.036696767890270765)","(0.5980611228806303, 0.043992018834398114)",0.009117500012507662
100.0,100000000000.0,0.01,0.0125,0.8,"(0.0, 0.0)","(0.08886345547854024, 0.0018501856433615195)","(0.17759174609242165, 0.007110658420006384)","(0.2660948042808038, 0.015345021588709868)","(0.354325903556187, 0.026117748699394667)","(0.4422751594994058, 0.03899634876124175)","(0.5299630747203148, 0.053552453285546)","(0.6174342036851762, 0.06936201837476913)","(0.7047509679713957, 0.0860048343690962)","(0.7919876095910349, 0.10306352601027004)",0.013200799992773682
100.0,100000000000.0,0.01,0.0125,1.0,"(0.0, 0.0)","(0.11103569513202542, 0.003561801168856211)","(0.22167143835932426, 0.013674383605742493)","(0.3316429686425687, 0.02947289801311354)","(0.44081561002700576, 0.0500967306166008)","(0.5491635797319901, 0.07469925859917201)","(0.6567496492900234, 0.10245258307518888)","(0.7637056653923702, 0.1325482460334876)","(0.870214098653216, 0.1641948856846038)","(0.9764905537097687, 0.19661370227336514)",0.014308200014056638
