F,E,base,height,length,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
100.0,100000000000.0,0.01,0.01,0.2,"(0.0, 0.0)","(0.010262765934759574, -1.242081741366727e-05)","(0.021113379747668682, -5.160270268496244e-05)","(0.032666109973537506, -0.00012105947986194649)","(0.04507790694943278, -0.0002254902429553094)","(0.05857473866440265, -0.0003714768251174815)","(0.07350343339964562, -0.0005688382312008112)","(0.0904478547210387, -0.0008336235081629847)","(0.11054648598666879, -0.0011961738404930458)","(0.1367386391739997, -0.0017322530383554104)","(0.19996929347409415, -0.0031991578087874136)",0.008297699969261885
100.0,100000000000.0,0.01,0.01,0.4,"(0.0, 0.0)","(0.02050838601077746, -9.897332578342648e-05)","(0.04219148080345751, -0.00041120342642604363)","(0.06527597790313358, -0.0009647090683980668)","(0.09007349306603075, -0.0017969480476385808)","(0.11703299668099956, -0.0029603737385866654)","(0.1468440423695294, -0.004533225887865196)","(0.1806681248010849, -0.006643375635386832)","(0.22077121997529497, -0.009532560213417944)","(0.27300622052372864, -0.01380442095717873)","(0.3990238002222646, -0.025492987761380967)",0.0044417999451979995
100.0,100000000000.0,0.01,0.01,0.6000000000000001,"(0.0, 0.0)","(0.030653873512441004, -0.00032848838662705415)","(0.06306362076965853, -0.0013649839755341371)","(0.09755774288522223, -0.0032027548812017027)","(0.1345893531069565, -0.0059663218115346755)","(0.1748133249155604, -0.009829885726249838)","(0.21923827108128774, -0.015053119608061548)","(0.26956735806749943, -0.022060269785363126)","(0.32913062966804235, -0.031653266227902974)","(0.4065460500540366, -0.04583471508943227)","(0.5927887394386505, -0.08462728841605008)",0.005307800020091236
100.0,100000000000.0,0.01,0.01,0.8,"(0.0, 0.0)","(0.04050788255448591, -0.0007466555538398436)","(0.08333682676693116, -0.003103857630871909)","(0.12888758708459735, -0.0072852160957834425)","(0.17771804235129787, -0.013575005209741604)","(0.23064118935310884, -0.02236999209389226)","(0.2889184834966875, -0.03426070685357646)","(0.3546940527879663, -0.050211105075874)","(0.43218425368234853, -0.07204272546205556)","(0.5323557097951211, -0.10430482827916988)","(0.7716331829074538, -0.19250479183145824)",0.005652999971061945
100.0,100000000000.0,0.01,0.01,1.0,"(0.0, 0.0)","(0.04979834690529553, -0.0013505302811255625)","(0.10245443528738565, -0.005618339426759373)","(0.15838977726550926, -0.01319541794050759)","(0.21820268232758505, -0.024600699838296207)","(0.2827802206754742, -0.04055569176781945)","(0.35351979191049004, -0.06213148482203117)","(0.4328281901379395, -0.09107387960819044)","(0.5254927310817269, -0.13067983254575002)","(0.6440889012334532, -0.18918386038327165)","(0.9235996741442656, -0.3490100761972688)",0.007022400037385523
100.0,100000000000.0,0.01,0.0125,0.2,"(0.0, 0.0)","(0.010263189764276315, -6.360705474552339e-06)","(0.02111425185781524, -2.6425715320288295e-05)","(0.0326675005035717, -6.199439865278018e-05)","(0.04507994265845346, -0.00011547311977701713)","(0.05857761979145331, -0.0001902324160665496)","(0.07350746183747989, -0.00029130060921241904)","(0.09045348676924646, -0.0004268964657342175)","(0.11055445022654539, -0.0006125578215701391)","(0.1367503016342292, -0.0008870835843195821)","(0.19999194786276508, -0.0016382869219694822)",0.004809799953363836
100.0,100000000000.0,0.01,0.0125,0.4,"(0.0, 0.0)","(0.02052186683094624, -5.0832560601154484e-05)","(0.042219218096195194, -0.0002111872713570891)","(0.065320196035067, -0.0004954466886874089)","(0.09013821200662214, -0.000922843501442746)","(0.11712456695223719, -0.0015203148188852906)","(0.14697203889598157, -0.0023280450262683073)","(0.18084702049821472, -0.003411713837764466)","(0.22102412524283815, -0.00489548989209787)","(0.27337646782525, -0.00708943089432831)","(0.39974277517429885, -0.01309275395427823)",0.0050107999704778194
100.0,100000000000.0,0.01,0.0125,0.6000000000000001,"(0.0, 0.0)","(0.030753662944956264, -0.00017079103277669054)","(0.06326887727623713, -0.000709592923002505)","(0.09788472777899493, -0.0016647672506927553)","(0.13506745364081768, -0.003100960523082219)","(0.17548897297080535, -0.005108692048704798)","(0.22018148889152087, -0.007822973780396971)","(0.27088401177059873, -0.011464456074099778)","(0.3309898064899039, -0.016450268875374822)","(0.40926486888827435, -0.023822031145819697)","(0.5980611228813998, -0.04399201883160423)",0.0056192000629380345
100.0,100000000000.0,0.01,0.0125,0.8,"(0.0, 0.0)","(0.040902323148165734, -0.00040006923897984364)","(0.08414753537779864, -0.0016623718168510256)","(0.13017684837308433, -0.0039004290031042607)","(0.1795983958218783, -0.007265843593090884)","(0.23329051548132831, -0.011970746557124736)","(0.29260518562869814, -0.018331393501214745)","(0.3598241775319988, -0.026864512120448186)","(0.4394067462771653, -0.038546870067515414)","(0.542888462930863, -0.05581765772781864)","(0.7919876095938317, -0.10306352600585852)",0.005633099935948849
100.0,100000000000.0,0.01,0.0125,1.0,"(0.0, 0.0)","(0.050868856905425607, -0.0007629258129224692)","(0.10465183185957776, -0.0031708390133634444)","(0.16187351049307303, -0.007441150055774929)","(0.22326063082730077, -0.013863659452662505)","(0.2898676732609901, -0.022843323657956653)","(0.36332445112519896, -0.034983332754544634)","(0.4463917317760117, -0.051268742677281626)","(0.5444822436569206, -0.0735612696759979)","(0.6716375957349012, -0.10651030892350297)","(0.9764905537158167, -0.19661370226720606)",0.0055185999954119325
