alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
1.25e-05,"(0.0, 0.0)","(1.3614109839465982e-14, -3.235447542222947e-08)","(1.1307621505807219e-13, -1.3441741596253717e-07)","(4.002076448017533e-13, -3.1534141268325246e-07)","(1.0004219674897286e-12, -5.873666414802909e-07)","(2.0761170560490427e-12, -9.676376968992513e-07)","(3.851086116668512e-12, -1.4817317377197224e-06)","(6.663947171858808e-12, -2.1714545634781085e-06)","(1.1107226249862379e-11, -3.115841388814931e-06)","(1.9979129461944467e-11, -4.512247831629893e-06)","(1.168327623535248e-08, -8.282591803031949e-06)",0.01105709999683313
0.384012375,"(0.0, 0.0)","(1.1418018957272402e-05, -0.000933346009221818)","(9.542763270697918e-05, -0.0038799326176645428)","(0.0003380122401641372, -0.009106779940820622)","(0.0008457436282399422, -0.016969241066685643)","(0.001756796856209053, -0.02796328911889021)","(0.003261897933760638, -0.04282710779763293)","(0.005649666858187685, -0.06276567588622643)","(0.009426282282913867, -0.09005598150938392)","(0.015767916674482407, -0.13038476174579008)","(0.03546058856892487, -0.24063785970725604)",0.010022800008300692
0.76801225,"(0.0, 0.0)","(3.513332674621311e-05, -0.0016113541734212652)","(0.00029422384752525454, -0.006707994829288583)","(0.001044333397132391, -0.015764102588977102)","(0.0026186767612517703, -0.02940484207932326)","(0.005451822951583418, -0.048496789935430974)","(0.010146543731979152, -0.07432375983780024)","(0.017618286467051603, -0.10897572727499291)","(0.029475850617008748, -0.15639742395097095)","(0.04945850853321632, -0.22644039971479255)","(0.111779079760846, -0.4177406247674817)",0.010443500010296702
1.152012125,"(0.0, 0.0)","(5.813847801222627e-05, -0.002032543420255905)","(0.000488026185484991, -0.008475815129711326)","(0.0017365378787897734, -0.019949573175690495)","(0.004365944307112679, -0.03726486800500416)","(0.009115414647471287, -0.06153990454544026)","(0.017017649484751096, -0.09442533161093679)","(0.029650424647066354, -0.13860250048462622)","(0.04979773066389598, -0.19912644656722778)","(0.08393900870237492, -0.28861373627551506)","(0.1911703130992909, -0.5332995144473123)",0.009078799979761243
1.536012,"(0.0, 0.0)","(7.628754278630329e-05, -0.0022812116553822975)","(0.0006418324642400858, -0.009528790741476154)","(0.0022894632965087536, -0.022464118088367124)","(0.0057716465954683605, -0.042027555823713376)","(0.012086370761244358, -0.0695124411972307)","(0.02263998008963336, -0.10682552034893342)","(0.03959782760041636, -0.1570624323703396)","(0.06680348151719617, -0.22605699548992592)","(0.11322775639513982, -0.3283577186693699)","(0.26041063800487363, -0.6091678241115595)",0.011396799993235618
1.920011875,"(0.0, 0.0)","(8.961939241673017e-05, -0.0024233392680729506)","(0.0007555552913729169, -0.010138150513722672)","(0.0027012773477833596, -0.023937484920907935)","(0.006827234293248996, -0.04485410782625029)","(0.014338410896830661, -0.07430871113189147)","(0.0269485552658133, -0.11439791873473495)","(0.04731989326877206, -0.1685300812105565)","(0.08021361417897255, -0.24313410675464903)","(0.13679157012346865, -0.3542368165994625)","(0.3182001623291246, -0.6611894262203023)",0.012560500006657094
2.30401175,"(0.0, 0.0)","(9.911081819038298e-05, -0.002499576845634382)","(0.0008370989302085435, -0.010471564303670586)","(0.0029989556702487707, -0.024759733848086156)","(0.00759734794739278, -0.04646396747774757)","(0.015999171753529218, -0.07710039752294201)","(0.030166602601184922, -0.11891275804166948)","(0.05317685787819476, -0.1755594261705355)","(0.09058132833372512, -0.2539572408185679)","(0.1554724824099259, -0.3713599975089254)","(0.3662293827264146, -0.6985648958625885)",0.015299899998353794
2.688011625,"(0.0, 0.0)","(0.000105721788133388, -0.0025342680077049024)","(0.0008943588046943507, -0.010629846106400772)","(0.0032099207572464927, -0.02516609835123998)","(0.008148957234780263, -0.047291772079442525)","(0.01720362091891056, -0.07859548560495622)","(0.032535379629602235, -0.12143771087547325)","(0.05756700919118657, -0.17968372875635683)","(0.09853213664074928, -0.26066911548772936)","(0.1702413072822988, -0.3827269067716412)","(0.4064720366596217, -0.7265544152426344)",0.015297799982363358
3.0720115,"(0.0, 0.0)","(0.00011020958082127996, -0.0025422683006074546)","(0.0009336166386417488, -0.010674799914976345)","(0.003356189685205721, -0.025301356713915615)","(0.008536351732003872, -0.04760586228379252)","(0.018062277057082743, -0.07923196183589633)","(0.03425445469838034, -0.12263355480684668)","(0.06082294679645983, -0.18184996818003873)","(0.1045921918985872, -0.26458519344615955)","(0.18191647652075565, -0.3901564219392552)","(0.4405818498367554, -0.748263244519656)",0.01003800000762567
3.4560113749999997,"(0.0, 0.0)","(0.00011313658087939993, -0.002532901077827498)","(0.0009595683741117494, -0.010645409144090267)","(0.003454339626192293, -0.02525725830843775)","(0.008800724212438216, -0.047577020278092005)","(0.018659689158913306, -0.07928959814963073)","(0.03547779471993662, -0.12292347114564174)","(0.06320331473611429, -0.18266500574564454)","(0.10917301439880317, -0.26654584166951445)","(0.19113816154824864, -0.3947984737960497)","(0.46983929884239417, -0.7656019624576479)",0.011547900008736178
3.84001125,"(0.0, 0.0)","(0.0001149135947045507, -0.0025121777544727074)","(0.0009756640726543281, -0.010566944067194287)","(0.003516627622210222, -0.02509359323365072)","(0.008972748524778223, -0.04731712183545315)","(0.019059307400871278, -0.07895259662170492)","(0.036321910614927455, -0.12258736300961139)","(0.06490546505600192, -0.1825315637596911)","(0.1125906831885582, -0.26710877623652424)","(0.1983984170494183, -0.3974103003992571)","(0.49521702256978384, -0.7797944122672186)",0.00953710000612773
4.2240111250000005,"(0.0, 0.0)","(0.00011584042758013002, -0.0024840653947508485)","(0.000984434842647805, -0.010456175475209366)","(0.0035520995474003086, -0.024850271639932628)","(0.009075215842816342, -0.04690129412373064)","(0.01930863903239524, -0.07834542847836413)","(0.036874787785575985, -0.12181557396839722)","(0.06607978995192387, -0.1817251089411241)","(0.11508802549539654, -0.2666567890434819)","(0.2040761898641848, -0.39850929878638314)","(0.5174545831062025, -0.7916536783991146)",0.009137599990935996
4.608011,"(0.0, 0.0)","(0.00011613698233359226, -0.0024512320879907573)","(0.0009877463263011504, -0.010324449911340919)","(0.003567460635847966, -0.02455446405793844)","(0.009125130859583275, -0.046381025947489544)","(0.019443400716198933, -0.07755402339413232)","(0.03720316135505064, -0.12074055104733411)","(0.06684149167730219, -0.18043889252638648)","(0.1168528739024578, -0.2654602601633542)","(0.20846600151700484, -0.39846070049489724)","(0.5371191964041546, -0.801737707083433)",0.009190600016154349
4.992010875,"(0.0, 0.0)","(0.00011596571407668926, -0.0024154990692238166)","(0.000986983164075167, -0.010179561380003975)","(0.003567714241040465, -0.024224959326850603)","(0.009135263135816973, -0.04579218413833763)","(0.01949061746703712, -0.07663873220971253)","(0.03735798490180367, -0.11945618332275587)","(0.06727946619208913, -0.17881132733247015)","(0.1180318259741896, -0.2637148176552512)","(0.21179942263223978, -0.39752976349580843)","(0.5546508903409797, -0.8104404433177672)",0.008979200007161126
5.376010750000001,"(0.0, 0.0)","(0.00011544755425544478, -0.0023781230614103067)","(0.0009831806297555673, -0.010026924500611756)","(0.003556620735655047, -0.023874905016069665)","(0.009115269552045169, -0.045160067977551954)","(0.01947088078167708, -0.07564251344394214)","(0.037378440260883605, -0.11803001307027698)","(0.06746283993110724, -0.17694321800513396)","(0.11874034830417324, -0.261564848227492)","(0.21426071688222237, -0.39591394941932173)","(0.5703951967509333, -0.8180471313904002)",0.009774800011655316
5.7600106250000005,"(0.0, 0.0)","(0.00011467318137353688, -0.0023399772739901635)","(0.0009771183056514199, -0.009870329488755967)","(0.0035370260276943177, -0.023513577519589806)","(0.009072503038060092, -0.044502684890831735)","(0.019399986532742025, -0.07459625305501853)","(0.037294864092265206, -0.11651118090397419)","(0.067445759984603, -0.1749089538204449)","(0.11907016989393227, -0.25911866439943854)","(0.2159981863418225, -0.3937634097384172)","(0.5846267143541124, -0.824768971996183)",0.012857099995017052
6.1440105,"(0.0, 0.0)","(0.00011371103761980209, -0.002301670155612669)","(0.0009693870388250841, -0.009712439493608102)","(0.0035110976655882697, -0.02314755276677074)","(0.009012597361025526, -0.04383292543696081)","(0.019290127131455476, -0.07352230934008645)","(0.03713089195816777, -0.11493573407041183)","(0.0672709208494397, -0.1727639880923735)","(0.11909472383277292, -0.2564585855253394)","(0.21713244312247865, -0.39119441646206493)","(0.5975661764989103, -0.8307654837428785)",0.010719699988840148
6.528010375,"(0.0, 0.0)","(0.00011261307620127545, -0.002263624910443024)","(0.0009604371609964399, -0.009555124991608608)","(0.0034804957521028246, -0.022781496727286087)","(0.00893989293647357, -0.043160038384431956)","(0.019150765302572204, -0.07243692761895541)","(0.03690504065754499, -0.1133302563386496)","(0.06697218268307234, -0.17054996281655652)","(0.11887319220446713, -0.25364782134595587)","(0.21776249928391173, -0.3882984057184236)","(0.6093929270909446, -0.836159314059629)",0.010315599996829405
6.91201025,"(0.0, 0.0)","(0.00011141891934648637, -0.0022261337002185367)","(0.0009506135212603156, -0.009399692688140632)","(0.0034464977241452505, -0.022418708949195003)","(0.008857749470969817, -0.04249064978714281)","(0.018989279844421142, -0.07135191686686411)","(0.0366318861354806, -0.11171440100233292)","(0.06657653390715756, -0.16829829811323557)","(0.11845354720605372, -0.25073528767750775)","(0.21797030396555084, -0.3851482184701822)","(0.6202541392285275, -0.8410462830964487)",0.012108700000680983
