alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.0005,"(0.0, 0.0)","(0.05131670070244284, -1.2941788663359407e-06)","(0.10557280643404154, -5.37669601888598e-06)","(0.16333996937446918, -1.261365506491889e-05)","(0.22540332476860797, -2.3494662988527084e-05)","(0.2928932103358062, -3.870550349438028e-05)","(0.3675444561125016, -5.9269262813984806e-05)","(0.4522774259219985, -8.685817272907257e-05)","(0.5527863810640715, -0.00012463364144509016)","(0.6837721996640219, -0.00018048989273202143)","(0.9999999333334262, -0.00033333329523839146)",0.007734399987384677
0.06049499999999999,"(0.0, 0.0)","(0.05129848405842005, -0.00015631903819026194)","(0.10553532296587219, -0.0006494414079761913)","(0.16328020681612213, -0.0015236004118060924)","(0.2253158392102805, -0.00283794307773499)","(0.292769402040932, -0.0046753073374412885)","(0.36737135940992466, -0.0071592668681264016)","(0.4520354434029935, -0.010491795267966612)","(0.5524442207590635, -0.015054725572413908)","(0.6832711908856073, -0.021801523322244984)","(nan, -0.040262738893594247)",0.0070804000133648515
0.12048999999999999,"(0.0, 0.0)","(0.05124486282164818, -0.0003098058610365506)","(0.10542500014446762, -0.0012871765397031657)","(0.16310435030457757, -0.0030198533690890357)","(0.2250584872987386, -0.005625113148759385)","(0.29240533873061864, -0.00926715914832467)","(0.3668625644260796, -0.014190895103447126)","(0.4513244455984718, -0.02079655893414112)","(0.5514392470302916, -0.029840777460252446)","(0.6818001590696395, -0.04321293714202822)","(0.9961707923280572, -0.07980007547984981)",0.006234699976630509
0.18048499999999998,"(0.0, 0.0)","(0.051157081211394555, -0.00046031576721772976)","(0.10524442891611556, -0.0019126598637210855)","(0.162816641422713, -0.00448758649789243)","(0.22463771090068857, -0.008359482804220237)","(0.29181052720211237, -0.01377239885345953)","(0.3660319392493206, -0.021090214173500824)","(0.45016460957942156, -0.03090750264358881)","(0.5498010368088532, -0.0443482062035507)","(0.6794038393709284, -0.06421901597481339)","(0.9915222548619329, -0.11857979452450085)",0.007108999998308718
0.24047999999999997,"(0.0, 0.0)","(0.05103708609090762, -0.000606569463604991)","(0.10499766146116003, -0.0025206246206680135)","(0.16242370824037156, -0.0059145386638001715)","(0.2240635655141886, -0.011018355774248019)","(0.2909997903224514, -0.018153811817180045)","(0.36490108337182336, -0.027800415001117768)","(0.44858733032571746, -0.04074149220622066)","(0.5475755710690948, -0.05845767103607308)","(0.6761517227296526, -0.08464647661298753)","(0.9852214152142316, -0.1562792148831416)",0.006568499957211316
0.300475,"(0.0, 0.0)","(0.05088736880637344, -0.0007474992254290309)","(0.10468987955771275, -0.0031066730740872)","(0.1619340157002622, -0.007290470343218848)","(0.2233488727289994, -0.013582781438872699)","(0.28999199626104677, -0.022380341919177146)","(0.36349744619097335, -0.034274133866232556)","(0.4466324469417202, -0.05022931069832051)","(0.5448211217191505, -0.07206999709663264)","(0.672131769736825, -0.10435168936906994)","(0.9774454860657299, -0.1926322395257287)",0.008001100039109588
0.36046999999999996,"(0.0, 0.0)","(0.050710784625698856, -0.0008822757572427715)","(0.10432701636865493, -0.003667386934160857)","(0.1613572398913789, -0.00860742035081725)","(0.22250825731144191, -0.016038029510204953)","(0.2888086177743502, -0.026427869212040458)","(0.3618521980626863, -0.04047463894332665)","(0.4443451095493815, -0.059317394868310315)","(0.5416036128863779, -0.08510866982341757)","(0.6674433314915672, -0.123224306116539)","(0.968394207763399, -0.2274361438929584)",0.007111000013537705
0.4204649999999999,"(0.0, 0.0)","(0.05051037539712456, -0.001010311227486438)","(0.1039153855289115, -0.004200339957041041)","(0.1607036559338734, -0.009859734966667474)","(0.22155720808088983, -0.01837364270193665)","(0.28747233143437123, -0.03027929276160733)","(0.35999816635500004, -0.04637594904049194)","(0.44177274967256097, -0.06796799397082692)","(0.5379921457349714, -0.09752003571510567)","(0.6621903346795259, -0.14118750119799242)","(0.9582759649462588, -0.26055185237838324)",0.007222500047646463
0.48045999999999994,"(0.0, 0.0)","(0.05028921457304792, -0.001131243408066579)","(0.10346135769248639, -0.004704032958346422)","(0.1599836060816053, -0.011043916598451633)","(0.2205112653880472, -0.02058315499996158)","(0.2860058111012491, -0.033924063487264795)","(0.3579680651554054, -0.05196210828894722)","(0.4389624914339517, -0.07615808383840132)","(0.53405518726528, -0.10927169732483416)","(0.6564754959836205, -0.15819555292420517)","(0.9472960498161724, -0.291899126317927)",0.0067761000245809555
0.5404549999999999,"(0.0, 0.0)","(0.05005028516972444, -0.0012449074320937644)","(0.10297110658733206, -0.00517777797324854)","(0.15920708427203825, -0.012158354210516155)","(0.2193853904956912, -0.022663591095078945)","(0.28443079768990953, -0.03735735772455903)","(0.35579313891605757, -0.05722591086009762)","(0.43595917929278916, -0.08387747250077336)","(0.5298576815106901, -0.12034974012402509)","(0.6503959575884749, -0.17422971327875045)","(0.9356478649576551, -0.3214485052829537)",0.008764000027440488
0.6004499999999999,"(0.0, 0.0)","(0.04979639338961202, -0.0013513014873841474)","(0.10245043010001413, -0.005621557494397246)","(0.15838344574607593, -0.0132029958657185)","(0.21819352918518808, -0.024614858953571513)","(0.28276746222500565, -0.04057907610518861)","(0.353502243156003, -0.06216735990559344)","(0.432804053710634, -0.09112651819705325)","(0.5254591260845868, -0.1307554048545405)","(0.6440404042399843, -0.18929327518910016)","(0.9235071750046806, -0.34921176065777865)",0.006508899969048798
0.6604449999999998,"(0.0, 0.0)","(0.049530115069923185, -0.0014505514916562192)","(0.10190464023096588, -0.006035879500602453)","(0.15752123095289836, -0.01417901156352754)","(0.2169483518925509, -0.02643912485777574)","(0.2810340340293274, -0.04359281482978953)","(0.35112131830787746, -0.06679208675723437)","(0.4295340070859046, -0.09791379377039003)","(0.5209125098900229, -0.1405016910528102)","(0.6374874971134131, -0.20340655479044278)","(0.9110290546879175, -0.37523224122349086)",0.008543000090867281
0.7204399999999999,"(0.0, 0.0)","(0.04925376913905137, -0.0015428781563736416)","(0.10133850953974467, -0.006421642263119248)","(0.15662808272332274, -0.015088478894284937)","(0.2156611370425761, -0.02814023113746348)","(0.27924664266474486, -0.046404908298541665)","(0.3486731787108867, -0.07110988210570955)","(0.42618130245926883, -0.10425392091910365)","(0.5162639344739532, -0.14961021547067035)","(0.6308053485401265, -0.21660226460802734)","(0.8983469557243287, -0.3995760191104159)",0.007173400023020804
0.7804349999999999,"(0.0, 0.0)","(0.04896941133834452, -0.0016285683257804306)","(0.10075625981774547, -0.0067800166766393034)","(0.15571073272719138, -0.015934109505807054)","(0.21434175995072435, -0.02972318984823069)","(0.27741931622425625, -0.04902359757242113)","(0.3461775304269049, -0.07513342229285182)","(0.4227736260029622, -0.11016569605487647)","(0.5115527255262763, -0.15810850051144199)","(0.624051738758473, -0.22892153283565142)","(0.8855732725152744, -0.42232431435924456)",0.00798590003978461
0.8404299999999998,"(0.0, 0.0)","(0.04867884189758442, -0.0017079513117797987)","(0.10016157968754848, -0.007112349077200468)","(0.1547750349798185, -0.0167190232468588)","(0.21299875264532397, -0.031193765007702656)","(0.27556408347892486, -0.05145834512573303)","(0.3436511394138233, -0.07887722153090282)","(0.4193343566743924, -0.1156705521155733)","(0.506811860406119, -0.16602775507220405)","(0.6172748069839501, -0.2404106570649134)","(0.8728008545610283, -0.44356735621001003)",0.006637599901296198
0.9004249999999998,"(0.0, 0.0)","(0.048383621920018216, -0.0017813801738148513)","(0.09955766011588231, -0.007420084342730875)","(0.15382602808964285, -0.01744656948990069)","(0.21163940626904426, -0.0325581423637888)","(0.2736911372205692, -0.05371929392936768)","(0.3411080866786718, -0.08235680646293082)","(0.4158829593445892, -0.12079134995951403)","(0.5020685724843971, -0.17340113661332623)","(0.6105140037311836, -0.2511185724851196)","(0.8601050288880969, -0.4633996306083938)",0.00910289993043989
