alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.0005,"(0.0, 0.0)","(0.05131670070244284, -1.2941788663359407e-06)","(0.10557280643404154, -5.37669601888598e-06)","(0.16333996937446918, -1.261365506491889e-05)","(0.22540332476860797, -2.3494662988527084e-05)","(0.2928932103358062, -3.870550349438028e-05)","(0.3675444561125016, -5.9269262813984806e-05)","(0.4522774259219985, -8.685817272907257e-05)","(0.5527863810640715, -0.00012463364144509016)","(0.6837721996640219, -0.00018048989273202143)","(0.9999999333334262, -0.00033333329523839146)",0.009583399980328977
0.0064995,"(0.0, 0.0)","(0.051316491235816074, -1.682270505992595e-05)","(0.10557237541443419, -6.989032988283386e-05)","(0.16333928213094986, -0.00016396177912304411)","(0.22540231864216165, -0.00030540134201524144)","(0.2928917863453732, -0.0005031233539098382)","(0.36754246502859766, -0.0007704266535570564)","(0.45227464219060676, -0.001129048149285803)","(0.5527824445404891, -0.0016200821628543135)","(0.683766435109554, -0.002346143659947502)","(0.999988735428894, -0.004332916327091938)",0.005930699990130961
0.012499,"(0.0, 0.0)","(0.05131592273730488, -3.2349554795416284e-05)","(0.10557120561595318, -0.0001343970647103553)","(0.16333741693856332, -0.00031529384394161117)","(0.22539958800467913, -0.0005872782883089824)","(0.29288792163653593, -0.0009674924259459507)","(0.36753706125185903, -0.0014815095154380343)","(0.45226708721044556, -0.0021711289171994622)","(0.5527717609522955, -0.0031153736320364872)","(0.6837507903667707, -0.004511568830945992)","(0.9999583449578865, -0.008332071650846398)",0.006593300029635429
0.0184985,"(0.0, 0.0)","(0.05131499534361619, -4.78731815723001e-05)","(0.10556929732338066, -0.00019889053626428072)","(0.1633343742638365, -0.00046659503515569556)","(0.22539513356530405, -0.0008690980739673074)","(0.29288161725679535, -0.0014317677225195288)","(0.3675282463116734, -0.0021924490972693006)","(0.4522547632084313, -0.003212999734398304)","(0.5527543335661609, -0.004610363173320302)","(0.683725270379712, -0.00667655453465098)","(0.9999087719154882, -0.01233040472850447)",0.006743300007656217
0.024498,"(0.0, 0.0)","(0.05131370927785131, -6.33920407636603e-05)","(0.10556665100146395, -0.00026336438800236524)","(0.16333015486806798, -0.0006178505563029651)","(0.22538895648114665, -0.0011508333042688174)","(0.29287287491518377, -0.001895904301133865)","(0.36751602270302697, -0.0029031767316503344)","(0.45223767381711044, -0.0042545599823963325)","(0.552730167710199, -0.006104906090343248)","(0.6836898832117125, -0.008840890164088346)","(0.9998400326012159, -0.016327521527354227)",0.006940899998880923
0.030497499999999997,"(0.0, 0.0)","(0.0513120648491912, -7.890459051191045e-05)","(0.10556326729425904, -0.0003278122747561496)","(0.1633247598062643, -0.0007690456373827057)","(0.225381058355693, -0.0014324566335365634)","(0.2928616969799672, -0.002359857299975546)","(0.3675003938832286, -0.0036136238750242664)","(0.4522158240700082, -0.005295709225375602)","(0.5526992707673006, -0.007598857951771397)","(0.6836446400355217, -0.011004365502638766)","(0.9997521495995735, -0.020323028761845698)",0.006409200024791062
0.036497,"(0.0, 0.0)","(0.051310062452302324, -9.440929261864168e-05)","(0.10555914702389678, -0.0003922278663855434)","(0.16331819042515866, -0.0009201655433582153)","(0.22537144123590414, -0.0017139407808962268)","(0.29284808647455624, -0.0028235819638378207)","(0.36748136426624006, -0.004323722147467802)","(0.4521892203937882, -0.006336347268874787)","(0.5526616521641895, -0.009092074676447567)","(0.6835895551175164, -0.013166770849448353)","(0.9996451517500397, -0.024316534133362096)",0.006589700002223253
0.0424965,"(0.0, 0.0)","(0.051307702567499745, -0.00010990461343262963)","(0.10555429119090202, -0.00045660485142603834)","(0.16331044836362021, -0.0010711955826423264)","(0.22536010761256434, -0.001995258546003246)","(0.292832047077552, -0.0032870336699926494)","(0.36745893922204587, -0.005033403372401163)","(0.4521578706063763, -0.007376374218356599)","(0.5526173233673976, -0.010584412618357044)","(0.683524645809843, -0.015327897144556553)","(0.9995190741267523, -0.028307646569576062)",0.008214900037273765
0.048496,"(0.0, 0.0)","(0.051304985759842374, -0.00012538902472658954)","(0.10554870097231486, -0.0005209369406895166)","(0.16330153554963658, -0.0012221211154745883)","(0.2253470604158597, -0.002276382824568578)","(0.2928135831165074, -0.003750167953730871)","(0.3674331250679886, -0.00574259961578809)","(0.4521217839049657, -0.008415690537023105)","(0.5525662978664992, -0.012075728650503223)","(0.6834499325261921, -0.017487536092422516)","(0.9993739579923775, -0.03229597646112748)",0.0072469000006094575
0.054495499999999995,"(0.0, 0.0)","(0.051301912679112556, -0.0001408610045711569)","(0.10554237772162418, -0.0005852178708539368)","(0.16329145420008825, -0.001372927562272979)","(0.22533230301475854, -0.00255728662383756)","(0.29279269956654197, -0.004212940533824898)","(0.3674039290660506, -0.006451243225215165)","(0.4520809708611047, -0.00945419710344839)","(0.5525085911656382, -0.013565880248508405)","(0.683365438727221, -0.019645480284948707)","(0.9992098507642145, -0.03628113589665161)",0.00832499994430691
